# device: DFS-X 100N (synthetic demo)
# horizon: fixed horizon, 20 s
t_s,force_N,latency_ms
0.000000,0.0000,3.850
0.005714,-0.0000,6.284
0.011429,0.0400,5.891
0.017143,0.0000,4.802
0.022857,-0.0200,3.978
0.028571,0.0200,4.397
0.034286,0.0600,5.349
0.040000,0.0400,5.025
0.045714,-0.0400,4.745
0.051429,-0.0600,6.408
0.057143,-0.0400,4.580
0.062857,0.0000,4.834
0.068571,-0.1200,5.665
0.074286,-0.0200,5.325
0.080000,-0.0600,6.297
0.085714,-0.0400,4.409
0.091429,-0.0200,4.066
0.097143,-0.0200,5.789
0.102857,0.0200,5.153
0.108571,0.0600,5.950
0.114286,-0.0000,5.866
0.120000,0.0600,5.848
0.125714,-0.0400,3.830
0.131429,0.0200,4.884
0.137143,0.0400,4.353
0.142857,0.0000,4.440
0.148571,-0.0400,30.385
0.154286,-0.0400,6.819
0.160000,-0.0200,7.506
0.165714,0.0200,4.013
0.171429,-0.0600,4.951
0.177143,-0.0200,4.034
0.182857,-0.0000,4.064
0.188571,0.0200,26.579
0.194286,0.0200,3.500
0.200000,0.0200,5.431
0.205714,-0.0400,3.647
0.211429,-0.0000,4.790
0.217143,0.0400,4.042
0.222857,0.0800,22.909
0.228571,-0.0600,5.960
0.234286,0.0800,5.725
0.240000,0.0600,4.928
0.245714,0.0400,3.500
0.251429,0.0200,3.728
0.257143,-0.0200,5.531
0.262857,0.0800,4.268
0.268571,0.1000,4.615
0.274286,0.1000,25.503
0.280000,0.0600,7.535
0.285714,0.0200,4.105
0.291429,-0.0600,5.518
0.297143,-0.0000,4.315
0.302857,0.0400,3.649
0.308571,-0.0600,4.586
0.314286,0.0200,4.696
0.320000,0.0200,4.477
0.325714,0.0400,5.610
0.331429,-0.0600,4.652
0.337143,-0.0400,3.500
0.342857,-0.0200,5.633
0.348571,-0.0600,5.577
0.354286,0.0800,3.500
0.360000,-0.0200,4.189
0.365714,0.0200,4.421
0.371429,-0.0200,5.813
0.377143,0.0800,4.699
0.382857,0.0600,6.141
0.388571,0.0400,4.091
0.394286,-0.1200,6.023
0.400000,0.0000,5.002
0.405714,0.0400,4.555
0.411429,0.0600,32.873
0.417143,-0.0400,5.955
0.422857,0.1000,5.690
0.428571,-0.0600,4.846
0.434286,-0.0400,6.256
0.440000,0.0400,6.432
0.445714,0.0000,4.627
0.451429,0.1000,5.129
0.457143,0.0000,3.500
0.462857,-0.0400,4.182
0.468571,-0.0200,6.168
0.474286,-0.0600,3.853
0.480000,-0.0600,5.401
0.485714,0.0400,4.954
0.491429,0.0200,6.972
0.497143,0.0600,5.167
0.502857,-0.0400,3.500
0.508571,0.0800,4.493
0.514286,-0.0200,5.507
0.520000,0.0800,5.729
0.525714,-0.0200,5.557
0.531429,-0.0400,6.524
0.537143,0.0200,5.303
0.542857,0.0600,3.500
0.548571,0.0000,4.233
0.554286,-0.0200,5.254
0.560000,-0.0600,4.179
0.565714,-0.0800,5.418
0.571429,0.0200,5.340
0.577143,0.0400,6.935
0.582857,-0.0000,4.153
0.588571,-0.0600,3.558
0.594286,0.0400,3.500
0.600000,-0.0600,4.429
0.605714,-0.0400,5.600
0.611429,0.0400,4.812
0.617143,-0.1200,4.173
0.622857,0.0200,3.670
0.628571,-0.0200,4.718
0.634286,0.0000,5.744
0.640000,-0.0000,6.338
0.645714,0.0200,6.498
0.651429,0.0400,5.852
0.657143,-0.0400,5.365
0.662857,0.0800,4.252
0.668571,0.0400,5.373
0.674286,0.0400,6.781
0.680000,0.0600,5.130
0.685714,0.0400,5.894
0.691429,0.0400,5.003
0.697143,0.0000,5.568
0.702857,-0.0800,3.889
0.708571,-0.0000,3.500
0.714286,-0.0400,3.820
0.720000,-0.0800,3.500
0.725714,0.0200,6.032
0.731429,-0.0200,7.860
0.737143,-0.0600,20.282
0.742857,-0.0600,4.047
0.748571,0.0200,5.427
0.754286,0.0200,6.913
0.760000,0.0600,5.109
0.765714,-0.0000,6.541
0.771429,0.0600,4.989
0.777143,0.0800,5.279
0.782857,0.0600,3.500
0.788571,-0.1200,5.420
0.794286,0.0600,3.884
0.800000,0.0200,3.743
0.805714,0.0200,3.500
0.811429,0.0200,5.721
0.817143,0.0200,7.742
0.822857,0.0200,4.135
0.828571,-0.0200,4.676
0.834286,-0.1000,4.567
0.840000,-0.0000,5.529
0.845714,-0.0400,6.180
0.851429,0.0600,4.956
0.857143,-0.0200,4.520
0.862857,0.0000,3.500
0.868571,-0.0400,5.759
0.874286,-0.0200,5.095
0.880000,-0.0000,20.874
0.885714,-0.0800,3.591
0.891429,0.0200,3.817
0.897143,-0.0000,4.465
0.902857,-0.0600,3.923
0.908571,-0.1200,5.933
0.914286,0.0200,3.858
0.920000,-0.0200,4.394
0.925714,-0.0200,3.744
0.931429,-0.0200,5.829
0.937143,0.1000,4.483
0.942857,-0.0000,5.006
0.948571,0.0000,5.663
0.954286,-0.0800,4.988
0.960000,0.0800,4.830
0.965714,0.0400,5.902
0.971429,0.0600,5.450
0.977143,0.0000,5.139
0.982857,0.0400,4.538
0.988571,0.0200,5.196
0.994286,0.0200,4.137
1.000000,-0.0000,6.795
1.005714,-0.0800,5.341
1.011429,0.0400,5.540
1.017143,-0.1000,4.230
1.022857,-0.0200,4.732
1.028571,-0.0200,5.828
1.034286,-0.0600,3.500
1.040000,0.0200,4.675
1.045714,-0.0200,4.230
1.051429,-0.0200,3.639
1.057143,0.0200,5.816
1.062857,-0.0200,4.078
1.068571,0.0600,3.753
1.074286,0.0200,6.201
1.080000,-0.0200,3.500
1.085714,-0.1000,6.240
1.091429,-0.0600,6.279
1.097143,0.0400,3.500
1.102857,-0.0000,26.553
1.108571,-0.0200,5.344
1.114286,0.0800,6.221
1.120000,-0.0800,4.363
1.125714,-0.0400,4.801
1.131429,-0.0400,5.894
1.137143,0.0200,3.918
1.142857,-0.0400,5.699
1.148571,-0.0400,6.326
1.154286,-0.0800,3.742
1.160000,0.0200,5.359
1.165714,0.0400,5.094
1.171429,-0.0400,3.739
1.177143,-0.0000,5.182
1.182857,-0.0800,4.691
1.188571,-0.0400,4.047
1.194286,0.0600,4.567
1.200000,-0.0000,3.828
1.205714,0.1000,5.478
1.211429,-0.0600,5.491
1.217143,0.0200,5.908
1.222857,-0.0200,5.120
1.228571,0.0200,5.253
1.234286,-0.0200,4.329
1.240000,-0.0400,26.207
1.245714,-0.0600,4.250
1.251429,0.1400,5.678
1.257143,-0.0200,4.451
1.262857,-0.1200,4.071
1.268571,-0.0600,5.468
1.274286,0.0000,6.961
1.280000,-0.0600,6.027
1.285714,0.0400,4.461
1.291429,0.0200,3.500
1.297143,-0.0400,3.500
1.302857,-0.0600,5.336
1.308571,-0.0800,5.197
1.314286,-0.0800,3.500
1.320000,-0.1200,4.809
1.325714,0.0200,6.292
1.331429,0.0400,4.969
1.337143,-0.1200,4.961
1.342857,-0.1200,3.608
1.348571,-0.1400,5.828
1.354286,-0.1000,4.152
1.360000,-0.2200,4.316
1.365714,-0.1200,6.375
1.371429,-0.0000,3.784
1.377143,-0.0800,4.757
1.382857,-0.0400,4.988
1.388571,-0.1000,5.462
1.394286,0.0000,6.845
1.400000,-0.0800,4.978
1.405714,-0.1200,5.627
1.411429,0.0400,4.889
1.417143,-0.1200,3.500
1.422857,-0.1600,6.335
1.428571,-0.1000,5.879
1.434286,-0.1200,6.442
1.440000,-0.0600,3.738
1.445714,-0.1800,5.170
1.451429,-0.1000,7.282
1.457143,-0.1000,7.646
1.462857,-0.1800,5.090
1.468571,-0.1400,5.355
1.474286,-0.2000,3.848
1.480000,-0.0600,4.753
1.485714,-0.2200,4.081
1.491429,-0.2000,33.655
1.497143,-0.2400,4.516
1.502857,-0.2200,4.890
1.508571,-0.2200,5.953
1.514286,-0.1800,4.842
1.520000,-0.2600,6.248
1.525714,-0.2600,4.798
1.531429,-0.3200,5.899
1.537143,-0.3000,3.786
1.542857,-0.1400,4.979
1.548571,-0.2400,3.500
1.554286,-0.3400,3.965
1.560000,-0.3800,4.114
1.565714,-0.3800,7.319
1.571429,-0.3400,3.730
1.577143,-0.3600,7.326
1.582857,-0.4000,5.792
1.588571,-0.4600,5.554
1.594286,-0.3400,4.125
1.600000,-0.4000,5.977
1.605714,-0.4600,7.265
