# device: DFS-X 100N 0000009261 3.07 (pre-tare, resting)
# horizon: fixed horizon, 25 s
t_s,force_N,latency_ms
0.000000,-0.1600,16.427
0.010691,-0.1600,4.946
0.015665,-0.1600,5.000
0.020689,-0.1600,5.044
0.025688,-0.1600,4.949
0.030641,-0.1600,4.953
0.035637,-0.1600,5.030
0.040628,-0.1600,4.947
0.045624,-0.1600,5.041
0.050651,-0.1600,5.008
0.055662,-0.1600,5.004
0.060675,-0.1600,4.978
0.065638,-0.1400,4.945
0.070613,-0.1400,5.001
0.075625,-0.1400,5.020
0.080662,-0.1400,5.049
0.085643,-0.1600,4.881
0.097111,-0.1600,18.051
0.108654,-0.1400,5.029
0.113731,-0.1600,5.121
0.118710,-0.1400,4.828
0.123617,-0.1400,4.952
0.128596,-0.1400,5.006
0.133589,-0.1400,4.973
0.138591,-0.1200,5.025
0.143577,-0.1400,4.943
0.148557,-0.1400,5.013
0.153601,-0.1200,5.030
0.158614,-0.1200,4.993
0.163570,-0.1200,4.916
0.168533,-0.1400,5.004
0.173571,-0.1200,5.067
0.178612,-0.1400,5.010
0.190073,-0.1400,17.906
0.201623,-0.1400,5.190
0.206654,-0.1400,4.867
0.211570,-0.1400,4.922
0.216536,-0.1400,5.006
0.221542,-0.1400,4.999
0.226550,-0.1400,5.011
0.231574,-0.1600,5.033
0.236560,-0.1600,4.935
0.241535,-0.1600,5.009
0.246541,-0.1600,5.000
0.251540,-0.1600,4.993
0.256545,-0.1600,4.971
0.261530,-0.1600,4.998
0.266503,-0.1600,4.945
0.271504,-0.1600,5.050
0.283030,-0.1600,17.998
0.294525,-0.1600,4.988
0.299501,-0.1600,4.953
0.304480,-0.1600,4.999
0.309495,-0.1800,5.027
0.314512,-0.1800,5.002
0.319499,-0.1800,4.966
0.324512,-0.1600,5.056
0.329528,-0.1600,4.972
0.334499,-0.1800,4.964
0.339498,-0.1800,5.028
0.344512,-0.1800,4.997
0.349527,-0.1800,5.026
0.354542,-0.1600,4.889
0.359485,-0.1600,4.995
0.364565,-0.1600,5.122
0.375549,-0.1600,16.832
0.386451,-0.1600,4.967
0.391475,-0.1600,5.078
0.396477,-0.1600,4.921
0.401413,-0.1600,4.947
0.406415,-0.1600,5.053
0.411430,-0.1600,4.973
0.416936,-0.1600,6.036
0.422418,-0.1600,4.925
0.427397,-0.1600,5.028
0.432415,-0.1600,5.005
0.437388,-0.1600,4.936
0.442377,-0.1600,4.990
0.447397,-0.1600,5.043
0.452417,-0.1600,4.989
0.457395,-0.1400,4.935
0.468383,-0.1400,17.036
0.479401,-0.1400,4.995
0.484404,-0.1400,5.007
0.489412,-0.1400,4.975
0.494401,-0.1200,4.999
0.499368,-0.1200,4.934
0.504337,-0.1200,4.972
0.509338,-0.1400,5.022
0.514372,-0.1400,5.043
0.519358,-0.1400,4.920
0.524344,-0.1400,5.050
0.529344,-0.1400,4.945
0.534324,-0.1400,5.000
0.539352,-0.1400,5.049
0.544389,-0.1400,5.021
0.549371,-0.1400,4.939
0.554359,-0.1400,4.994
0.565846,-0.1200,17.978
0.577331,-0.1200,4.988
0.582330,-0.1200,5.006
0.587334,-0.1200,4.996
0.592313,-0.1200,4.958
0.597298,-0.1200,5.005
0.602310,-0.1200,5.012
0.607305,-0.1200,4.978
0.612308,-0.1200,5.020
0.617300,-0.1200,4.960
0.622300,-0.1200,5.037
0.627327,-0.1200,5.006
0.632321,-0.1200,4.980
0.637286,-0.1400,4.944
0.642278,-0.1400,5.034
0.647288,-0.1400,4.983
0.658762,-0.1400,17.959
0.670246,-0.1400,5.004
0.675270,-0.1400,5.038
0.680271,-0.1400,4.959
0.685300,-0.1400,5.092
0.690315,-0.1400,4.933
0.695268,-0.1200,4.968
0.700229,-0.1200,4.951
0.705220,-0.1200,5.025
0.710234,-0.1200,4.998
0.715238,-0.1400,5.008
0.720236,-0.1200,4.982
0.725253,-0.1400,5.049
0.730261,-0.1200,4.965
0.735254,-0.1200,5.014
0.740256,-0.1200,4.982
0.751239,-0.1200,16.977
0.762256,-0.1200,5.051
0.767233,-0.1000,4.897
0.772186,-0.1200,5.004
0.777197,-0.1200,5.010
0.782191,-0.1200,4.973
0.787229,-0.1200,5.092
0.792246,-0.1400,4.932
0.797206,-0.1200,4.982
0.802191,-0.1200,4.982
0.807183,-0.1200,4.996
0.812180,-0.1200,4.996
0.817210,-0.1200,5.059
0.822228,-0.1000,4.926
0.827190,-0.1000,4.995
0.832191,-0.1000,5.004
0.843694,-0.1000,17.995
0.855177,-0.1000,4.963
0.860177,-0.1200,5.031
0.865224,-0.1400,5.053
0.870209,-0.1400,4.910
0.875170,-0.1400,5.008
0.880144,-0.1200,4.938
0.885154,-0.1200,5.077
0.890190,-0.1200,4.948
0.895143,-0.1200,4.952
0.900146,-0.1400,5.050
0.905141,-0.1400,4.936
0.910109,-0.1400,4.997
0.915125,-0.1400,5.031
0.920150,-0.1400,5.015
0.925150,-0.1600,4.981
0.930167,-0.1600,5.048
0.941136,-0.1600,16.883
0.952111,-0.1600,5.059
0.957130,-0.1400,4.976
0.962098,-0.1600,4.955
0.967093,-0.1600,5.032
0.972610,-0.1400,5.996
0.978108,-0.1400,4.998
0.983089,-0.1400,4.961
0.988077,-0.1400,5.009
0.993069,-0.1400,4.972
0.998066,-0.1400,5.012
1.003065,-0.1400,4.978
1.008045,-0.1400,4.978
1.013040,-0.1400,5.007
1.018050,-0.1400,5.010
1.023072,-0.1200,5.029
1.034073,-0.1400,16.931
1.045055,-0.1200,5.030
1.050078,-0.1200,5.012
1.055089,-0.1200,5.002
